block,young_band,n_firms,term,coef,se,n_obs,status,t,edu_coef,edu_se
term,22-25,104217,rb_x_high_x_young,0.0186318764664109,0.0086823318643641,38398914,ok,2.145953040897212,,
term,22-25,104217,rb_x_high_x_female,0.0128498281131678,0.002104902603,38398914,ok,6.1047138688762415,,
term,22-25,104217,rb_x_high_x_young_x_female,-0.0057049592838816,0.009392730417379,38398914,ok,-0.6073802856436653,,
term,22-25,104217,interim_x_high_x_young,-0.0112076118254517,0.0108996287957366,38398914,ok,-1.028256286107245,,
term,22-25,104217,interim_x_high_x_female,0.0032680182520259,0.0022663864489741,38398914,ok,1.441951020094211,,
term,22-25,104217,interim_x_high_x_young_x_female,-0.0144440223321822,0.0090818222832219,38398914,ok,-1.5904321711807363,,
term,22-25,104217,post_x_high_x_young,-0.0170545156285412,0.017881866326603,38398914,ok,-0.9537324190355375,,
term,22-25,104217,post_x_high_x_female,0.0093246220288187,0.0039235551607813,38398914,ok,2.3765747253982488,,
term,22-25,104217,post_x_high_x_young_x_female,-0.0858248170751674,0.0141980759680564,38398914,ok,-6.044820246648963,-0.0746,0.0142
term,22-25,104217,q1_x_high_x_young,-0.131754185524538,0.0104335558220066,38398914,ok,-12.627927407705075,,
term,22-25,104217,q1_x_high_x_female,0.0037890395632046,0.0013638619508781,38398914,ok,2.778169418660803,,
term,22-25,104217,q1_x_high_x_young_x_female,-0.0068932477791618,0.0077630788191013,38398914,ok,-0.8879528264225202,,
term,22-25,104217,q2_x_high_x_young,-0.124758553236164,0.009250414093963,38398914,ok,-13.486807397907068,,
term,22-25,104217,q2_x_high_x_female,0.0010097043966335,0.0010704163009157,38398914,ok,0.943281969612885,,
term,22-25,104217,q2_x_high_x_young_x_female,-0.0125821885565324,0.0059201651323404,38398914,ok,-2.125310405245119,,
term,22-25,104217,q3_x_high_x_young,-0.0802126943168277,0.0109968992366704,38398914,ok,-7.2941192412993505,,
term,22-25,104217,q3_x_high_x_female,0.0044927873378378,0.0012782855474472,38398914,ok,3.5146977502875787,,
term,22-25,104217,q3_x_high_x_young_x_female,-0.0566734246643187,0.0068489533792136,38398914,ok,-8.274756963059655,,
step,22-25,104217,male_step,-0.0170545156285412,0.017881866326603,38398914,derived,-0.9537324190355375,,
step,22-25,104217,female_differential,-0.0858248170751674,0.0141980759680564,38398914,derived,-6.044820246648963,-0.0746,0.0142
step,22-25,104217,female_step,-0.1028793327037086,0.016261343863589503,38398914,derived,-6.32661934749833,,
