design,sample,spec,estimator,term,coef,se,pval,n_obs
occupation_panel,all ads,baseline,OLS,rb_x_high,-0.1270919049459365,0.03850725109580204,0.0010595893810396717,28084
occupation_panel,all ads,baseline,OLS,gpt_x_high,-0.05932978641523457,0.03833934117838764,0.12260440351545032,28084
occupation_panel,all ads,i_quartile,OLS,rb_x_high,-0.15010251535248728,0.047609028652545377,0.001749793304931746,28084
occupation_panel,all ads,i_quartile,OLS,gpt_x_high,-0.020208956599984538,0.05454485359736647,0.7112219336500303,28084
occupation_panel,all ads,i_quartile,OLS,rb_x_rhigh,0.03602973076499717,0.046048573541301346,0.4344657748932448,28084
occupation_panel,all ads,i_quartile,OLS,gpt_x_rhigh,-0.06111662017972234,0.05261255053055786,0.24613632661844287,28084
occupation_panel,all ads,i_remote_only,OLS,rb_x_rhigh,-0.058642848342446256,0.036545487725294964,0.10942786776725555,28084
occupation_panel,all ads,i_remote_only,OLS,gpt_x_rhigh,-0.07389704398775834,0.036406546091674964,0.04309859253294346,28084
occupation_panel,all ads,ii_continuous_ai_only,OLS,rb_x_z_ai,-0.053634070230120415,0.017480622758836523,0.0023130658181642616,28084
occupation_panel,all ads,ii_continuous_ai_only,OLS,gpt_x_z_ai,-0.02229994707720924,0.017117288692013517,0.19346679197636707,28084
occupation_panel,all ads,ii_continuous,OLS,rb_x_z_ai,-0.037923335696006366,0.023722122003449222,0.11075692148892702,28084
occupation_panel,all ads,ii_continuous,OLS,gpt_x_z_ai,0.013322683652243527,0.02390537194361467,0.5776550047243187,28084
occupation_panel,all ads,ii_continuous,OLS,rb_x_z_rem,-0.022790932146292797,0.020523571875778777,0.2675190593203791,28084
occupation_panel,all ads,ii_continuous,OLS,gpt_x_z_rem,-0.05222912189816109,0.020845710896001513,0.01265868926474556,28084
occupation_panel,all ads,iii_LS_ai_alone,OLS,post_x_z_ai,-0.06356580571312787,0.016769785055182264,0.00017562624121958414,28084
occupation_panel,all ads,iii_LS_remote_alone,OLS,post_x_z_rem,-0.0804732601013642,0.016040734997926107,8.192087865843689e-07,28084
occupation_panel,all ads,iii_LS_joint,OLS,post_x_z_ai,-0.015817626487789036,0.021588335413708075,0.4642119949277763,28084
occupation_panel,all ads,iii_LS_joint,OLS,post_x_z_rem,-0.0698440311587426,0.02121314732624117,0.0010892214321782667,28084
occupation_panel,all ads,iv_poisson_baseline,Poisson,rb_x_high,-0.12850759896352923,0.0512160460076763,0.012102972699332915,28084
occupation_panel,all ads,iv_poisson_baseline,Poisson,gpt_x_high,-0.06004314565409041,0.04138787939864685,0.14685164339979817,28084
occupation_panel,all ads,iv_poisson_quartile,Poisson,rb_x_high,-0.06059497392594677,0.07194456814216138,0.3996506656192913,28084
occupation_panel,all ads,iv_poisson_quartile,Poisson,gpt_x_high,-0.09989442690497806,0.05217620910773675,0.05554877744669473,28084
occupation_panel,all ads,iv_poisson_quartile,Poisson,rb_x_rhigh,-0.09825915010017586,0.07582863074559518,0.19504253307600705,28084
occupation_panel,all ads,iv_poisson_quartile,Poisson,gpt_x_rhigh,0.05779910054682403,0.054995748709047006,0.2932705434896743,28084
occupation_panel,occupations with >=50 ads in 2021-22,i_quartile_occ_ge50ads,OLS,rb_x_high,-0.1552561905028838,0.04800175488186273,0.001334143178806979,27398
occupation_panel,occupations with >=50 ads in 2021-22,i_quartile_occ_ge50ads,OLS,gpt_x_high,-0.0131959121812708,0.054840596690887596,0.8099869621416558,27398
occupation_panel,occupations with >=50 ads in 2021-22,i_quartile_occ_ge50ads,OLS,rb_x_rhigh,0.030389127405749977,0.04643426430961845,0.5132450012076819,27398
occupation_panel,occupations with >=50 ads in 2021-22,i_quartile_occ_ge50ads,OLS,gpt_x_rhigh,-0.053458319643214416,0.052905536742080546,0.31297256637044346,27398
occupation_panel,entry-level ads,baseline,OLS,rb_x_high,0.0056764448173917195,0.06603243224972312,0.9315477380666561,12159
occupation_panel,entry-level ads,baseline,OLS,gpt_x_high,-0.25926263246680925,0.0642838728835147,6.870023740157549e-05,12159
occupation_panel,entry-level ads,i_quartile,OLS,rb_x_high,-0.004620050775759188,0.07918645658891024,0.9535106255177839,12159
occupation_panel,entry-level ads,i_quartile,OLS,gpt_x_high,-0.1659697555291204,0.07179622625014204,0.021422339348840636,12159
occupation_panel,entry-level ads,i_quartile,OLS,rb_x_rhigh,0.01385300788608989,0.07966349985088901,0.8620573335507098,12159
occupation_panel,entry-level ads,i_quartile,OLS,gpt_x_rhigh,-0.1352398446165913,0.07210023405995435,0.061592772985281874,12159
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,rb_x_high,0.3132488116687963,0.22336949702108694,0.16080194082526678,12159
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,gpt_x_high,-0.258564801341089,0.10341245773337344,0.012407925638998618,12159
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,rb_x_rhigh,-0.40874396413276914,0.24601697580997384,0.09662387002305728,12159
occupation_panel,entry-level ads,iv_poisson_quartile,Poisson,gpt_x_rhigh,0.1417953327076801,0.1265083205867122,0.26235682685045547,12159
occupation_panel,entry-level ads,iii_LS_joint,OLS,post_x_z_ai,-0.11980697992315303,0.03832335165812134,0.0019311029934989676,12159
occupation_panel,entry-level ads,iii_LS_joint,OLS,post_x_z_rem,-0.036677423426866244,0.0277241315745707,0.18678751878560584,12159
