file,location,source,accessed,licence,sha256,bytes,read_by
daioe_ssyk2012.csv,data/raw,"DAIOE generative-AI exposure by SSYK 2012 occupation and year (Engberg et al. 2024, IZA DP 16717), as distributed by the authors in February 2026; the public release is https://github.com/Magnus-L/daioe-pipeline (v1.0.0, doi:10.5281/zenodo.21873968)",2026-02-23,"DAIOE scores are released under CC BY 4.0 (v1.0.0, doi:10.5281/zenodo.21873968); this file predates that release and should be checked against it before deposit",81866e7b3a5fa948adaad147ac9b5d2aaf25e20c6d536e84f6d4c168940adf1e,2190203,"1_data_public/04, 2_postings/13"
isco_soc_crosswalk2.xls,data/raw,https://www.bls.gov/soc/ISCO_SOC_Crosswalk.xls,2026-02-27,"US government work, public domain",0936c78c4ab2cb0b61d7cfe3dcf0f94d943a4e30b11dade1f11676307e2c0aae,311296,2_postings/12
ssyk2012_isco08.xlsx,data/raw,"https://www.scb.se (Statistics Sweden, SSYK 2012 to ISCO-08 key)",2026-02-27,"Statistics Sweden open data, CC0 (https://www.scb.se/en/services/open-data-api/)",3f5d8959a544dab44216a04b56d1f407b2896773610a97bf780619a9746d2136,279225,2_postings/12
dingel_neiman_telework.csv,data/raw,https://github.com/jdingel/DingelNeiman-workathome (occ_onet_scores/output/occupations_workathome.csv),2026-02-27,"GPL-3.0, the licence of the authors' GitHub repository",42ff3ae084478b554526671710b53a16d39f88c3eebb24f56f46372d7243bd40,45011,2_postings/12
omxs30_daily.csv,"data/raw (fetched by 1_data_public/03, not shipped)","Yahoo Finance, ticker ^OMX (via yfinance)",2026-09-18,"Yahoo Finance terms of use, which restrict redistribution; not shipped, fetched by 1_data_public/03",029f1d4affd4c09bed24322e1dc3fcdbf2fcddad70d1af4da7c2dedc7dd67582,47226,1_data_public/03
omxspi_daily.csv,"data/raw (fetched by 1_data_public/03, not shipped)","Yahoo Finance, ticker ^OMXSPI (via yfinance)",2026-09-18,"Yahoo Finance terms of use, which restrict redistribution; not shipped, fetched by 1_data_public/03",d3b5228fb11a22c1ae0fa7308607404f9ef14272ee88561e87965568af79db73,47766,1_data_public/03
sp500_daily.csv,"data/raw (fetched by 1_data_public/03, not shipped)","Yahoo Finance, ticker ^GSPC (via yfinance)",2026-02-24,"Yahoo Finance terms of use, which restrict redistribution; not shipped, fetched by 1_data_public/03",0cb07f58d787ae54e2d8271592d47801c52b0411480bbae2d3c7330313e4305a,41897,2_postings/18
indeed_us_aggregate.csv,data/raw,https://github.com/hiring-lab/job_postings_tracker (US/aggregate_job_postings_US.csv),2026-02-24,"CC BY 4.0, the licence of Indeed Hiring Lab's GitHub repository",3e649211a93ec53f21e60a7300819ac67d5530c9029b8ab2bf70fe8a43fa2d85,183077,2_postings/18
scb_yreg54bas.json,data/raw,https://api.scb.se/OV0104/v1/doris/en/ssd/AM/AM0208/AM0208E/YREG54BAS (occupation x age x year),2026-02-24,"Statistics Sweden open data, CC0 (https://www.scb.se/en/services/open-data-api/)",1aff77f1b73986d048a8e95f5bcb337d8c8fb3fd882fef1e81eeaac43711b73a,135133,5_occupation_register_public/01
scb_yreg54bas_query.json,data/raw,the query posted to https://api.scb.se/OV0104/v1/doris/sv/ssd/AM/AM0208/AM0208E/YREG54BAS,2026-09-23,written by the authors,9e5c9da577ac95a2ff472b5b44a5be1197100d2e1be5c567d41b98da2ef61dc9,378,5_occupation_register_public/02
scb_yreg54bas_ssyk4_age_sex_2024.json,data/raw,"response of Statistics Sweden's API to scb_yreg54bas_query.json (occupation x age x sex, 2024)",2026-09-23,"Statistics Sweden open data, CC0 (https://www.scb.se/en/services/open-data-api/)",87490629eb9910c691542f529fd752a8683352947203149de6ab07142302bf46,53815,5_occupation_register_public/02
postings_ssyk4_monthly_2026-02-24.csv,data/raw,built by the authors on 2026-02-24 from the Platsbanken annual archives 2020 to 2025 and the JobStream live feed (https://jobstream.api.jobtechdev.se) as of that date; the counts every posting estimate starts from,2026-02-24,derived from CC0 data; released with the package,6d47ae28f7a288dffe0103175bcda342bdee0dda85b4f41d0e9c07bc7dff3c65,563007,"1_data_public/04, 2_postings/02, 03, 10"
2020.jsonl.zip,config.JOBADS_DIR (not shipped),https://data.jobtechdev.se/annonser/historiska/2020.jsonl.zip,2026-02-24,"Arbetsförmedlingen, CC0",c2c4d025234e021443185c461d46c0d6080a7897a98a1f5a74c8b970950979e8,552526668,"1_data_public/02; 2_postings/01, 03, 10, 17"
