young_band,quarter,coef,se,n_obs,status
22-25,2019Q1,0.0788991019107904,0.0153009793067628,43749654,ok
22-25,2019Q2,0.0920393412382405,0.0183448340939865,43749654,ok
22-25,2019Q3,0.136712174353999,0.023321696115957,43749654,ok
22-25,2019Q4,0.21972810763202,0.0174608735674795,43749654,ok
22-25,2020Q1,0.0736896396223617,0.0119854208520731,43749654,ok
22-25,2020Q2,0.0592245778345968,0.0178633187575746,43749654,ok
22-25,2020Q3,0.0568089631097895,0.0211447142685278,43749654,ok
22-25,2020Q4,0.151171335227087,0.0143100329238875,43749654,ok
22-25,2021Q1,-0.0022772425618086,0.0090042024572051,43749654,ok
22-25,2021Q2,0.0193954818638448,0.0118709519634097,43749654,ok
22-25,2021Q3,0.0411197251837745,0.0190008301504627,43749654,ok
22-25,2021Q4,0.158029953744646,0.0120801576357627,43749654,ok
22-25,2022Q2,0.0287062191369347,0.0095933529186081,43749654,ok
22-25,2022Q3,0.0609328710004521,0.0182439984942415,43749654,ok
22-25,2022Q4,0.168642949972921,0.0132704013280858,43749654,ok
22-25,2023Q1,0.0036171956806141,0.0118410187302845,43749654,ok
22-25,2023Q2,0.0149826473893855,0.0145309310174975,43749654,ok
22-25,2023Q3,0.0353950760945874,0.0209886223219801,43749654,ok
22-25,2023Q4,0.132586570784866,0.0172225262097743,43749654,ok
22-25,2024Q1,-0.0170090411298178,0.0160882394048601,43749654,ok
22-25,2024Q2,-0.0099733725354782,0.0175605457710724,43749654,ok
22-25,2024Q3,-0.0123029912016508,0.0223176881849054,43749654,ok
22-25,2024Q4,0.0924067767049589,0.0197377173566423,43749654,ok
22-25,2025Q1,-0.0132983494836554,0.0250419236994923,43749654,ok
22-25,2025Q2,-0.0435868580488489,0.025025427022463,43749654,ok
22-25,2022Q1,0.0,0.0,0,reference
26-30,2019Q1,-0.0033581127893488,0.0115125927716702,48918480,ok
26-30,2019Q2,-0.0015746979897813,0.011433502405681,48918480,ok
26-30,2019Q3,0.0041568003835905,0.0112808643808743,48918480,ok
26-30,2019Q4,0.0480654981492903,0.0107742938310323,48918480,ok
26-30,2020Q1,-0.0053516347488172,0.0086797166240462,48918480,ok
26-30,2020Q2,-0.0071313660485441,0.0088278450844569,48918480,ok
26-30,2020Q3,-0.0147279395522291,0.0085454610404703,48918480,ok
26-30,2020Q4,0.0206010441740735,0.0077496275659427,48918480,ok
26-30,2021Q1,-0.0218720790481494,0.0054339083782639,48918480,ok
26-30,2021Q2,-0.0110562550730758,0.0053881769979295,48918480,ok
26-30,2021Q3,-0.0080287693537888,0.0056453405828932,48918480,ok
26-30,2021Q4,0.0407297894383072,0.0049218344677666,48918480,ok
26-30,2022Q2,0.0069665324268108,0.0028940440905098,48918480,ok
26-30,2022Q3,0.0137144121320251,0.0046997011689547,48918480,ok
26-30,2022Q4,0.0606621191448264,0.005040432234048,48918480,ok
26-30,2023Q1,0.0049322969783948,0.0067142271595733,48918480,ok
26-30,2023Q2,0.0042915953451012,0.0074185753621562,48918480,ok
26-30,2023Q3,0.0026647593724236,0.0083477037280416,48918480,ok
26-30,2023Q4,0.0426880160708642,0.0086101956905444,48918480,ok
26-30,2024Q1,-0.0111983135669265,0.0099311632346869,48918480,ok
26-30,2024Q2,-0.01480771283206,0.010524524342087,48918480,ok
26-30,2024Q3,-0.0225340277120294,0.0110755686435031,48918480,ok
26-30,2024Q4,0.0155376744797189,0.0114464959487546,48918480,ok
26-30,2025Q1,-0.0598869138953466,0.0139094106404374,48918480,ok
26-30,2025Q2,-0.0785495940220848,0.0159938854421296,48918480,ok
26-30,2022Q1,0.0,0.0,0,reference
