grp,n_workers,score,quartile
75M,3044,0.0032851511169513796,1
75N,49697,0.004004265851057408,1
75R,1806,0.006644518272425249,1
83T,16631,0.007696470446756058,1
75SB,2056,0.00924124513618677,1
85P,2919,0.009249743062692703,1
75B,5030,0.009940357852882704,1
75SA,6262,0.011338230597253274,1
75HS,23593,0.011910312380790912,1
73O,38519,0.014122900386822087,1
15B,27043,0.01760159745590356,1
75V,3426,0.01838879159369527,1
75T,693,0.01875901875901876,1
53R,11043,0.020827673639409582,1
75Y,3551,0.02224725429456491,1
01Z,103475,0.022672143029717325,1
73T,4109,0.023606716962764663,1
75D,3866,0.02379720641489912,1
75SP,1043,0.024928092042186004,1
75SD,2348,0.02512776831345826,1
93Z,634,0.025236593059936908,1
53F,19701,0.026090046190548704,1
75F,2364,0.027495769881556685,1
75J,2160,0.02962962962962963,1
75SX,1479,0.029749830966869506,2
83R,17882,0.03148417402975059,2
02Z,76139,0.03234873061111914,2
73B,28910,0.04098927706675891,2
75L,8299,0.041691770092782264,2
53B,44779,0.04169365104178298,2
63Z,20795,0.04337581149314739,2
13Z,9108,0.04765041721563461,2
75P,28023,0.049280947792884416,2
75O,4781,0.050617025726835393,2
23X,2451,0.053039575683394534,2
65V,960,0.065625,2
53E,37897,0.06739319735071378,2
33H,28381,0.06842605968781931,3
74P,48276,0.07214765100671142,3
83X,22029,0.07258613645648918,3
53I,18062,0.07906101206953826,3
75H,22097,0.08394804724623252,3
73X,12063,0.08430738622233275,3
23E,26237,0.09158821511605747,3
03A,131229,0.10416142773319921,3
03N,44273,0.11187405416393739,3
03T,32914,0.12247068116910736,3
15F,5852,0.1384142173615858,3
85T,4013,0.14602541739347122,3
33E,72791,0.14742207140992705,3
45X,3635,0.15680880330123798,3
55T,11448,0.18902865129280225,3
55Q,2738,0.19393718042366692,3
25T,1085,0.19723502304147467,3
84P,7197,0.19855495345282756,3
64P,2919,0.21377183967112023,3
75A,2470,0.21417004048582997,3
14P,57308,0.23363230264535492,4
95Z,667,0.23388305847076463,4
24P,28692,0.25376411543287325,4
53A,39493,0.254804648925126,4
83H,11340,0.27530864197530863,4
43Z,21059,0.2925590009022271,4
25K,10734,0.29932923420905533,4
15V,983,0.3041709053916582,4
75X,3614,0.3408965135583841,4
55H,11080,0.3755415162454874,4
54P,65857,0.382677619691149,4
34P,105524,0.400117508813161,4
55K,1257,0.42800318217979316,4
44P,25867,0.43078053117872195,4
65S,1255,0.43745019920318723,4
65J,844,0.4727488151658768,4
55I,9840,0.4971544715447154,4
45B,10095,0.5094601287766221,4
35F,22765,0.5197452229299363,4
25H,10151,0.5362033297212098,4
25M,5917,0.5416596248098698,4
55L,1560,0.5487179487179488,4
15P,3099,0.5827686350435625,4
15H,17497,0.588043664628222,4
55C,7440,0.5887096774193549,4
55J,5903,0.618499068270371,4
35S,20552,0.6220319190346438,4
45G,2291,0.6499345264076822,4
35Y,17744,0.6618011722272318,4
55F,7177,0.6675491152292043,4
15S,2637,0.6738718240424725,4
45K,1812,0.6843267108167771,4
35M,10476,0.7445589919816724,4
55G,7390,0.754533152909337,4
55D,12317,0.7553787448242267,4
45DL,6608,0.763771186440678,4
15G,28691,0.7850196925865254,4
55B,8332,0.7933269323091695,4
35E,57721,0.8078169123889053,4
55E,18028,0.8107388506767251,4
45Q,4906,0.8151243375458622,4
55A,4105,0.8160779537149817,4
45DH,15039,0.823126537668728,4
35J,18599,0.8462820581751707,4
45FM,4369,0.8603799496452278,4
35B,1985,0.908816120906801,4
35V,5385,0.9595171773444754,4
35P,6649,0.9691682959843585,4
