design,scenario,registers,seed,age_group,gamma_struct,gamma_oracle,gamma_prod,bias,artefact_T2021,artefact_T2022,gen_s
OL_exact,null,base,0,22-25,0.0,-0.0137297365979888,-0.194962941026189,-0.1812332044282002,-0.3873854784748918,-0.2663699315347038,31.7
OL_exact,null,base,0,26-30,0.0,-0.0073299659607265,-0.0828736885010361,-0.0755437225403096,-0.08131652632422161,-0.0634058542918539,31.7
OL_exact,null,base,0,50+,0.0,-0.0079110412412511,0.10169355087709,0.1096045921183411,0.0,0.0,31.7
OL_daioe,null,base,0,22-25,0.0,-0.0137297365979888,-0.213185344573856,-0.1994556079758672,-0.3804287734665073,-0.2620322306935883,31.7
OL_daioe,null,base,0,26-30,0.0,-0.0073299659607265,-0.0785403201649544,-0.07121035420422789,-0.08871249915897389,-0.063040615913422,31.7
OL_daioe,null,base,0,50+,0.0,-0.0079110412412511,0.108728631774438,0.1166396730156891,0.0,0.0,31.7
fresh_stock,null,base,0,22-25,0.0,-0.0137297365979888,-0.213185344573856,-0.1994556079758672,-0.3804287734665073,-0.2620322306935883,31.7
fresh_stock,null,base,0,26-30,0.0,-0.0073299659607265,-0.0785403201649544,-0.07121035420422789,-0.08871249915897389,-0.063040615913422,31.7
fresh_stock,null,base,0,50+,0.0,-0.0079110412412511,0.108728631774438,0.1166396730156891,0.0,0.0,31.7
entrant,null,base,0,22-25,0.0,-0.0137297365979888,-0.213185344573856,-0.1994556079758672,-0.3804287734665073,-0.2620322306935883,31.7
entrant,null,base,0,26-30,0.0,-0.0073299659607265,-0.0785403201649544,-0.07121035420422789,-0.08871249915897389,-0.063040615913422,31.7
entrant,null,base,0,50+,0.0,-0.0079110412412511,0.108728631774438,0.1166396730156891,0.0,0.0,31.7
entrant_share,null,base,0,22-25,0.0,-0.0137297365979888,-0.16736584276481,-0.15363610616682122,-0.2518669876060497,-0.1879783427804347,31.7
entrant_share,null,base,0,26-30,0.0,-0.0073299659607265,-0.0724914684213402,-0.0651615024606137,-0.07242395810261981,-0.0556190913386042,31.7
entrant_share,null,base,0,50+,0.0,-0.0079110412412511,0.0823030252675355,0.09021406650878659,0.0,0.0,31.7
expband,null,base,0,22-25,0.0,-0.0137297365979888,-0.253507571424046,-0.23977783482605722,-0.546593383053165,-0.35141488575862995,31.7
expband,null,base,0,26-30,0.0,-0.0073299659607265,-0.0789073952615377,-0.0715774293008112,-0.1112098367310464,-0.0778801666021916,31.7
expband,null,base,0,50+,0.0,-0.0079110412412511,0.130442381347338,0.1383534225885891,0.0,0.0,31.7
enrol,null,base,0,22-25,0.0,-0.0137297365979888,-0.213185344573856,-0.1994556079758672,-0.3700722136552153,-0.2633996639132273,31.7
enrol,null,base,0,26-30,0.0,-0.0073299659607265,-0.0785403201649544,-0.07121035420422789,-0.08185263321482039,-0.05774877750126361,31.7
enrol,null,base,0,50+,0.0,-0.0079110412412511,0.108728631774438,0.1166396730156891,0.0,0.0,31.7
full,null,base,0,22-25,0.0,-0.0137297365979888,-0.16736584276481,-0.15363610616682122,-0.24795551159942572,-0.1907990998397987,31.7
full,null,base,0,26-30,0.0,-0.0073299659607265,-0.0724914684213402,-0.0651615024606137,-0.06497695750547619,-0.0502341462658703,31.7
full,null,base,0,50+,0.0,-0.0079110412412511,0.0823030252675355,0.09021406650878659,0.0,0.0,31.7
OL_exact,null,base,1,22-25,0.0,-0.0202503006493369,-0.18812060190805,-0.1678703012587131,-0.3704686947559852,-0.2841655805715132,33.3
OL_exact,null,base,1,26-30,0.0,0.0063273758791091,-0.0585048631932009,-0.06483223907230999,-0.0896743339905675,-0.06466541778116,33.3
OL_exact,null,base,1,50+,0.0,0.0217072210589459,0.127409025647481,0.10570180458853509,0.0,0.0,33.3
OL_daioe,null,base,1,22-25,0.0,-0.0202503006493369,-0.17184305113752,-0.1515927504881831,-0.39141563080489783,-0.2903138995295428,33.3
OL_daioe,null,base,1,26-30,0.0,0.0063273758791091,-0.0686031060516725,-0.0749304819307816,-0.0929739782755972,-0.07142946679715899,33.3
OL_daioe,null,base,1,50+,0.0,0.0217072210589459,0.130542020285808,0.1088347992268621,0.0,0.0,33.3
fresh_stock,null,base,1,22-25,0.0,-0.0202503006493369,-0.17184305113752,-0.1515927504881831,-0.39141563080489783,-0.2903138995295428,33.3
